IDPIF,SUPQUEMADA,MUERTOS,HERIDOS,COMUNIDAD,PROVINCIA,COMARCA,MUNICIPIO,LATITUD,LONGITUD,FECHA,TIME_CTRL,TIME_EXT,IDGRUPOCAUSA,CAUSA,PERSONAL,PESADOS,AEREOS,GASTOS_EXT,PERDIDAS
2001460170,174.9,0,0,C. VALENCIANA,VALENCIA,LA FOIA DE BUNYOL,CHIVA,39.476629,-0.791004,8/29/2001,705,2770,4,Sin datos,182,10,4,0,10197
2007240332,174.4,0,0,CASTILLA Y LEON,LEON,CANALES-LA MAGDALENA,MURIAS DE PAREDES,42.807904,-6.206098,11/17/2007,0,0,4,Provocados por cazadores para facilitar la caza,20,1,1,0,0
2010240021,174.37,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,BALBOA,42.733468,-6.896544,3/17/2010,0,0,2,QUEMA PARA REG. PASTOS (QUEMAS DE MATORRAL),0,0,0,0,0
2010320911,174.27,0,0,GALICIA,OURENSE,VALDEORRAS-TRIVES,MANZANEDA,42.260142,-7.20272,8/25/2010,1890,2351,4,Provocados por pastores y ganaderos para regenerar el pasto,132,10,20,0,0
2003370124,174.17,0,0,CASTILLA Y LEON,SALAMANCA,VITIGUDINO,VILLARINO DE LOS AIRES,41.225947,-6.437589,8/10/2003,242,1177,1,RAYO,91,7,3,0,59912
2011331584,173.67,0,0,ASTURIAS,ASTURIAS,NARCEA,CANGAS DEL NARCEA,43.090126,-6.7039,10/23/2011,795,1678,6,INCENDIO REPRODUCIDO,29,2,0,0,13042
2006361770,173.31,0,0,GALICIA,PONTEVEDRA,CALDAS-O SALNES,VALGA,42.669472,-8.649016,8/10/2006,1005,2295,4,Otras motivaciones,62,3,4,32406,348109
2009160216,173,0,0,CASTILLA-MANCHA,CUENCA,SERRANIA MEDIA,BUENACHE DE LA SIERRA,40.108035,-1.976613,7/21/2009,775,3100,1,RAYO,134,14,0,48456,0
2011322448,172.61,0,0,GALICIA,OURENSE,VALDEORRAS-TRIVES,OTRA PROVINCIA,42.191893,-6.92322,10/18/2011,2008,6336,4,Otras motivaciones,114,4,13,0,0
2003100692,172,0,0,EXTREMADURA,CACERES,SIERRA DE GATA,VALVERDE DEL FRESNO,40.12352,-6.930849,8/3/2003,455,2415,4,Sin datos,92,9,1,0,563878
2003270708,172,0,0,GALICIA,LUGO,FONSAGRADA-OS ANCARES,NAVIA DE SUARNA,42.962634,-6.888242,8/12/2003,3310,6995,1,RAYO,25,10,5,0,114323
2006270833,172,0,0,GALICIA,LUGO,FONSAGRADA-OS ANCARES,BECERREÁ,42.865037,-7.122678,9/9/2006,755,1785,4,Sin datos,158,18,15,0,585812
2006230037,171.7,0,0,ANDALUCIA,JAEN,SIERRA MAGINA,JÓDAR,37.885443,-3.374941,6/14/2006,329,389,4,Provocados por pastores y ganaderos para regenerar el pasto,51,2,0,0,0
2003060251,171.4,0,0,EXTREMADURA,BADAJOZ,TENTUDIA,MONTEMOLÍN,38.176461,-6.184506,8/1/2003,660,780,1,RAYO,21,4,0,0,124851
2006240502,171.2,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,OENCIA,42.546098,-6.992083,9/8/2006,3824,4252,1,RAYO,78,1,7,0,0
2011250017,171.1,0,0,CATALUÑA,LLEIDA,PALLARS SOBIRA,SORIGUERA,42.377904,1.193766,10/13/2011,1845,3105,4,Sin datos,42,10,3,0,0
2001160026,171,0,0,CASTILLA-MANCHA,CUENCA,SERRANIA MEDIA,ALMODÓVAR DEL PINAR,39.704757,-1.887926,6/16/2001,780,1770,5,CAUSA DESCONOCIDA,128,9,1,13078,75786
